PROJECTID,NAME,ADDRESS,CITY,STATE,ZIP,MSA,LATITUDE,LONGITUDE,MANAGEMENTCOMPANY,SUBMARKET,QUANTITY,AREAPERUNIT,LEVEL,YEARBUILT,MRG_CLASS,AXIOSUBMNEM,OCCUPANCY_PERCENTAGE,MARKET
6262,Fairlawn Apartments,15 Bismarck St,Mattapan,MA,2126,"Boston-Cambridge-Newton, MA-NH",42.269836426,-71.10035706,"The Dolben Company, Inc.",BOS_SM8,347,829.780029297,2,1962,BC,BOS_SM8,1.0,BOS
6266,Princeton Green,740 Farm Rd,Marlborough,MA,1752,"Boston-Cambridge-Newton, MA-NH",42.346252441,-71.51093292,Princeton Properties,BOS_SM10,195,701.299987793,2,1975,BC,BOS_SM10,1.0,BOS
6278,River Drive Apts,3 River Drive,Danvers,MA,1923,"Boston-Cambridge-Newton, MA-NH",42.552371979,-70.9197464,"The Hamilton Company, Inc.",BOS_SM9,72,650.989990234,3,1967,BC,BOS_SM9,1.0,BOS
6319,Olde Derby Village,4 Olde Derby Rd,Norwood,MA,2062,"Boston-Cambridge-Newton, MA-NH",42.176685333,-71.22306824,The Simon Companies,BOS_SM7,139,820.039978027,2,1985,BC,BOS_SM7,1.0,BOS
13897,Metro Marina Bay,7 Seaport Dr,Quincy,MA,2171,"Boston-Cambridge-Newton, MA-NH",42.293685913,-71.02801514,Lincoln Property Company,BOS_SM13,136,934.599975586,6,2002,A,BOS_SM13,1.0,BOS
16500,Parlmont Park,10 Parlmont Park,North Billerica,MA,1862,"Boston-Cambridge-Newton, MA-NH",42.572109222,-71.27516937,J&C Management,BOS_SM12,216,706.440002441,3,1970,BC,BOS_SM12,1.0,BOS
21137,Kendall Crossing,20 Woodbine Rd,Natick,MA,1760,"Boston-Cambridge-Newton, MA-NH",42.277915955,-71.38913727,"Franchi Management Company, Inc.",BOS_SM10,354,815,3,1979,BC,BOS_SM10,1.0,BOS
21152,Town Estates,209 Pleasant St,Melrose,MA,2176,"Boston-Cambridge-Newton, MA-NH",42.44619751,-71.07176971,"Franchi Management Company, Inc.",BOS_SM20,266,677.359985352,3,1970,BC,BOS_SM20,1.0,BOS
38323,The Tremont at 3rd Avenue I,32 2nd Ave,Burlington,MA,1803,"Boston-Cambridge-Newton, MA-NH",42.485500336,-71.22277832,Nordblom Management,BOS_SM12,162,974.679992676,4,2016,A,BOS_SM12,1.0,BOS
41487,225 Centre,225 Centre St,Jamaica Plain,MA,2119,"Boston-Cambridge-Newton, MA-NH",42.323600769,-71.09919739,Peabody Properties,BOS_SM8,103,885.200012207,6,2013,A,BOS_SM8,1.0,BOS
