SNO,AC_LATITUDE,AC_LONGITUDE,AC_COMPID,AC_MANAGEMENTCOMPANY,AC_PROJID,AC_NAME,AC_ADDRESS,AC_CITY,AC_STATE,AC_ZIP,AC_YEARBUIT,AC_QUANTITY,AC_AREAPERUNIT,AC_LEVEL,AC_PROJID,AC_NAME,AC_QUANTITY,AC_AREAPERUNIT,AC_YEARBUILT,MRG_CLASS,AXIOSUBMNEM,FILENAME
  113,33.732326508,-117.810371399,"Raintree Partners, Inc.",Alliance Residential Company,146,Axiom Tustin ,13921 Tustin East Dr,Tustin,CA,92780,1970,684,824.809997559,2,146,Axiom Tustin ,684,824.81,1970,BC,ORC_SM20,TALEND
  128,38.818065643,-77.106887817,Aimco,Aimco,164,Foxchase Apartments,320 N Jordan St,Alexandria,VA,22304,1963,2113,698.219970703,4,164,Foxchase Apartments,2113,698.22,1963,BC,SVA_SM7,TALEND
  260,38.934177399,-77.080863953,AvalonBay Communities,AvalonBay Communities,316,Avalon at Foxhall ,4100 Massachusetts Ave NW,Washington,DC,20016,1982,308,947.179992676,14,316,Avalon at Foxhall ,308,947.18,1982,A,WDC_SM11,TALEND
  263,42.281475067,-71.686775208,Lone Star Funds,Lighthouse Property Management,319,The Commons at Haynes Farm,100 Arbor Dr,Shrewsbury,MA,1545,1991,302,879.700012207,3,319,The Commons at Haynes Farm,302,879.70,1991,BC,BOS_SM10,TALEND
  264,38.859207153,-77.39894104,AvalonBay Communities,AvalonBay Communities,320,eaves Fair Lakes,13116 Autumn Woods Way,Fairfax,VA,22033,1990,420,878.179992676,3,320,eaves Fair Lakes,420,878.18,1990,BC,SVA_SM8,TALEND
  265,38.884632111,-77.117866516,AvalonBay Communities,AvalonBay Communities,322,AVA Ballston ,4650 Washington Blvd,Arlington,VA,22201,1990,344,857.41998291,10,322,AVA Ballston ,344,857.42,1990,BC,SVA_SM3,TALEND
  267,38.803142548,-77.07951355,AEW Capital Management,Bozzuto Management,324,Cameron Court,2700 Williamsburg St,Alexandria,VA,22314,1997,460,1015.849975586,4,324,Cameron Court,460,1015.85,1997,A,SVA_SM7,TALEND
  268,39.108726501,-77.206199646,Stellar Management,Stellar Management,326,The Villages At Decoverly I,9901 Gable Ridge Ter,Rockville,MD,20850,1991,367,1001.299987793,3,326,The Villages At Decoverly I,367,1001.30,1991,BC,SMD_SM15,TALEND
  269,38.994564056,-77.417228699,Continental Realty Corporation,Continental Realty Corporation,327,Chase Heritage,1212 Chase Heritage Cir,Sterling,VA,20164,1986,236,985.729980469,3,327,Chase Heritage,236,985.73,1986,BC,SVA_SM2,TALEND
  270,39.23292923,-76.846549988,AvalonBay Communities,AvalonBay Communities,329,Avalon at Fairway Hills I,5441 Columbia Rd,Columbia,MD,21044,1987,192,1009.289978027,4,329,Avalon at Fairway Hills I,192,1009.29,1987,A,BAL_SM4,TALEND
  271,39.232891083,-76.846565247,AvalonBay Communities,AvalonBay Communities,330,Avalon at Fairway Hills II & III,5441 Columbia Rd,Columbia,MD,21044,1987,527,1004.690002441,4,330,Avalon at Fairway Hills II & III,527,1004.69,1987,A,BAL_SM4,TALEND
  272,42.236927032,-70.988769531,MILL CREEK RESIDENTIAL,MILL CREEK RESIDENTIAL,331,Alister Quincy,500 Falls Blvd,Quincy,MA,2169,1997,171,1027.189941406,3,331,Alister Quincy,171,1027.19,1997,BC,BOS_SM13,TALEND
  275,38.899871826,-76.807510376,"The Dolben Company, Inc.","The Dolben Company, Inc.",334,Lake Arbor Towers,11411 Lake Arbor Way,Mitchellville,MD,20721,1989,209,813.650024414,13,334,Lake Arbor Towers,209,813.65,1989,A,SMD_SM11,TALEND
  276,42.414600372,-71.232452393,AvalonBay Communities,AvalonBay Communities,335,Avalon at Lexington,100 Lexington Ridge Dr,Lexington,MA,2421,1994,198,1194.33996582,3,335,Avalon at Lexington,198,1194.34,1994,BC,BOS_SM2,TALEND
  277,39.20608139,-76.869827271,AvalonBay Communities,AvalonBay Communities,337,Eaves Columbia Town Center I,10310 Hickory Ridge Rd,Columbia,MD,21044,1986,176,1025.060058594,4,337,Eaves Columbia Town Center I,176,1025.06,1986,A,BAL_SM4,TALEND
  280,40.850830078,-73.169342041,AvalonBay Communities,AvalonBay Communities,340,Avalon Commons,313 Avalon Cir,Smithtown,NY,11787,1997,312,1209.099975586,2,340,Avalon Commons,312,1209.10,1997,A,LIS_SM3,TALEND
  281,40.761745453,-73.414451599,AvalonBay Communities,AvalonBay Communities,341,Avalon Court I,100 Court North Dr,Melville,NY,11747,1997,154,1313.16003418,2,341,Avalon Court I,154,1313.16,1997,A,LIS_SM6,TALEND
  282,40.723140717,-74.036003113,AvalonBay Communities,AvalonBay Communities,342,Avalon Cove,444 Washington Blvd,Jersey City,NJ,7310,1997,505,1230.260009766,5,342,Avalon Cove,505,1230.26,1997,A,NNJ_SM5,TALEND
  283,38.927604675,-77.227249146,AvalonBay Communities,AvalonBay Communities,343,Avalon Tysons Corner,1569 Onyx Dr,Tysons Corner,VA,22102,1997,558,1100.939941406,4,343,Avalon Tysons Corner,558,1100.94,1997,A,SVA_SM25,TALEND
  284,39.113388062,-77.197624207,AvalonBay Communities,AvalonBay Communities,345,Eaves Washingtonian Center,15717 Winners Dr,North Potomac,MD,20878,1996,288,1076.229980469,4,345,Eaves Washingtonian Center,288,1076.23,1996,BC,SMD_SM15,TALEND
  286,41.225875854,-73.192207336,Paredim Communities,Paredim Communities,348,The Royce at Trumbull,100 Avalon Gates,Trumbull,CT,6611,1997,340,1114.650024414,4,348,The Royce at Trumbull,340,1114.65,1997,A,FFC_SM1,TALEND
  287,41.057468414,-73.528892517,AvalonBay Communities,AvalonBay Communities,349,eaves Stamford,66 Glenbrook Rd,Stamford,CT,6902,1991,238,972.359985352,4,349,eaves Stamford,238,972.36,1991,BC,FFC_SM3,TALEND
  288,41.054210663,-73.83303833,AvalonBay Communities,AvalonBay Communities,350,Avalon Green I,100 Town Green Dr,Elmsford,NY,10523,1995,105,1080.290039062,2,350,Avalon Green I,105,1080.29,1995,A,WCC_SM1,TALEND
  289,41.055980682,-73.534721375,Prudential Real Estate Investors,Greystar,351,ParcGrove I,200 Broad St,Stamford,CT,6901,1996,166,900.349975586,4,351,ParcGrove I,166,900.35,1996,BC,FFC_SM3,TALEND
  290,39.163574219,-77.260162354,Mesirow Financial,Gables Residential,352,Cherry Knoll Apartments,18832 Bent Willow Cir,Germantown,MD,20874,1985,300,968.479980469,4,352,Cherry Knoll Apartments,300,968.48,1985,BC,SMD_SM7,TALEND
  291,38.971504211,-76.510421753,TruAmerica Multifamily,Greystar,353,Bayshore Landing,988 Spa Rd,Annapolis,MD,21403,1984,158,740.719970703,4,353,Bayshore Landing,158,740.72,1984,BC,BAL_SM1,TALEND
  292,39.398925781,-76.7576828,Morgan Properties,Morgan Properties,354,Chase Lea,1 Hartley Cir,Owings Mills,MD,21117,1988,296,1029.140014648,4,354,Chase Lea,296,1029.14,1988,BC,BAL_SM14,TALEND
  293,38.736305237,-77.472312927,"UDR, Inc","UDR, Inc",355,Wellington Place at Olde Town,10303 7th Regiment Dr,Manassas,VA,20110,1988,372,818.150024414,3,355,Wellington Place at Olde Town,372,818.15,1988,A,SVA_SM13,TALEND
  296,38.491676331,-77.383682251,Morgan Properties,Morgan Properties,358,The Pointe at Stafford,300 Park Ridge Ct,Stafford,VA,22554,1988,140,851.940002441,3,358,The Pointe at Stafford,140,851.94,1988,BC,SVA_SM24,TALEND
  297,39.079273224,-76.933151245,Investcorp,Polinger Shannon & Luchs Company,359,Arcadian Silver Spring,13615 Colgate Way,Silver Spring,MD,20904,1988,432,999.219970703,4,359,Arcadian Silver Spring,432,999.22,1988,BC,SMD_SM19,TALEND
  298,40.28678894,-74.680030823,AvalonBay Communities,AvalonBay Communities,360,Eaves Lawrenceville I,1000 Town Ct S,Lawrenceville,NJ,8648,1994,426,1040.300048828,3,360,Eaves Lawrenceville I,426,1040.30,1994,A,CNJ_SM9,TALEND
  299,40.284637451,-74.67779541,AvalonBay Communities,AvalonBay Communities,361,Eaves Lawrenceville II,1000 Town Ct N,Lawrenceville,NJ,8648,1996,206,1203.630004883,2,361,Eaves Lawrenceville II,206,1203.63,1996,A,CNJ_SM9,TALEND
